radial_time_of_day,day_of_week,trip_id
01:00 AM,Weekday,263
01:00 AM,Weekend,517
01:00 PM,Weekday,716
01:00 PM,Weekend,444
01:15 AM,Weekday,213
01:15 AM,Weekend,479
01:15 PM,Weekday,734
01:15 PM,Weekend,446
01:30 AM,Weekday,175
01:30 AM,Weekend,422
01:30 PM,Weekday,749
01:30 PM,Weekend,460
01:45 AM,Weekday,178
01:45 AM,Weekend,381
01:45 PM,Weekday,737
01:45 PM,Weekend,384
02:00 AM,Weekday,144
02:00 AM,Weekend,387
02:00 PM,Weekday,683
02:00 PM,Weekend,420
02:15 AM,Weekday,108
02:15 AM,Weekend,281
02:15 PM,Weekday,691
02:15 PM,Weekend,429
02:30 AM,Weekday,97
02:30 AM,Weekend,252
02:30 PM,Weekday,732
02:30 PM,Weekend,447
02:45 AM,Weekday,85
02:45 AM,Weekend,244
02:45 PM,Weekday,836
02:45 PM,Weekend,454
03:00 AM,Weekday,87
03:00 AM,Weekend,217
03:00 PM,Weekday,793
03:00 PM,Weekend,438
03:15 AM,Weekday,71
03:15 AM,Weekend,179
03:15 PM,Weekday,821
03:15 PM,Weekend,501
03:30 AM,Weekday,70
03:30 AM,Weekend,161
03:30 PM,Weekday,844
03:30 PM,Weekend,478
03:45 AM,Weekday,64
03:45 AM,Weekend,135
03:45 PM,Weekday,849
03:45 PM,Weekend,492
04:00 AM,Weekday,104
04:00 AM,Weekend,96
04:00 PM,Weekday,900
04:00 PM,Weekend,451
04:15 AM,Weekday,93
04:15 AM,Weekend,96
04:15 PM,Weekday,977
04:15 PM,Weekend,510
04:30 AM,Weekday,107
04:30 AM,Weekend,72
04:30 PM,Weekday,1078
04:30 PM,Weekend,474
04:45 AM,Weekday,123
04:45 AM,Weekend,66
04:45 PM,Weekday,1010
04:45 PM,Weekend,472
05:00 AM,Weekday,131
05:00 AM,Weekend,78
05:00 PM,Weekday,1168
05:00 PM,Weekend,519
05:15 AM,Weekday,179
05:15 AM,Weekend,68
05:15 PM,Weekday,1302
05:15 PM,Weekend,513
05:30 AM,Weekday,224
05:30 AM,Weekend,73
05:30 PM,Weekday,1291
05:30 PM,Weekend,535
05:45 AM,Weekday,246
05:45 AM,Weekend,46
05:45 PM,Weekday,1235
05:45 PM,Weekend,519
06:00 AM,Weekday,292
06:00 AM,Weekend,83
06:00 PM,Weekday,1398
06:00 PM,Weekend,543
06:15 AM,Weekday,387
06:15 AM,Weekend,78
06:15 PM,Weekday,1339
06:15 PM,Weekend,570
06:30 AM,Weekday,523
06:30 AM,Weekend,81
06:30 PM,Weekday,1357
06:30 PM,Weekend,597
06:45 AM,Weekday,572
06:45 AM,Weekend,101
06:45 PM,Weekday,1412
06:45 PM,Weekend,597
07:00 AM,Weekday,620
07:00 AM,Weekend,94
07:00 PM,Weekday,1372
07:00 PM,Weekend,583
07:15 AM,Weekday,822
07:15 AM,Weekend,104
07:15 PM,Weekday,1308
07:15 PM,Weekend,609
07:30 AM,Weekday,914
07:30 AM,Weekend,132
07:30 PM,Weekday,1258
07:30 PM,Weekend,600
07:45 AM,Weekday,1026
07:45 AM,Weekend,155
07:45 PM,Weekday,1151
07:45 PM,Weekend,536
08:00 AM,Weekday,1043
08:00 AM,Weekend,142
08:00 PM,Weekday,1174
08:00 PM,Weekend,489
08:15 AM,Weekday,1101
08:15 AM,Weekend,172
08:15 PM,Weekday,1141
08:15 PM,Weekend,506
08:30 AM,Weekday,1046
08:30 AM,Weekend,210
08:30 PM,Weekday,1059
08:30 PM,Weekend,448
08:45 AM,Weekday,1076
08:45 AM,Weekend,225
08:45 PM,Weekday,995
08:45 PM,Weekend,465
09:00 AM,Weekday,917
09:00 AM,Weekend,213
09:00 PM,Weekday,1014
09:00 PM,Weekend,483
09:15 AM,Weekday,885
09:15 AM,Weekend,261
09:15 PM,Weekday,1064
09:15 PM,Weekend,452
09:30 AM,Weekday,800
09:30 AM,Weekend,263
09:30 PM,Weekday,995
09:30 PM,Weekend,490
09:45 AM,Weekday,840
09:45 AM,Weekend,331
09:45 PM,Weekday,969
09:45 PM,Weekend,466
10:00 AM,Weekday,731
10:00 AM,Weekend,363
10:00 PM,Weekday,1010
10:00 PM,Weekend,452
10:15 AM,Weekday,671
10:15 AM,Weekend,354
10:15 PM,Weekday,968
10:15 PM,Weekend,519
10:30 AM,Weekday,667
10:30 AM,Weekend,363
10:30 PM,Weekday,1001
10:30 PM,Weekend,468
10:45 AM,Weekday,679
10:45 AM,Weekend,397
10:45 PM,Weekday,913
10:45 PM,Weekend,469
11:00 AM,Weekday,628
11:00 AM,Weekend,370
11:00 PM,Weekday,836
11:00 PM,Weekend,467
11:15 AM,Weekday,655
11:15 AM,Weekend,380
11:15 PM,Weekday,797
11:15 PM,Weekend,434
11:30 AM,Weekday,766
11:30 AM,Weekend,409
11:30 PM,Weekday,742
11:30 PM,Weekend,473
11:45 AM,Weekday,766
11:45 AM,Weekend,453
11:45 PM,Weekday,657
11:45 PM,Weekend,417
12:00 AM,Weekday,383
12:00 AM,Weekend,595
12:00 PM,Weekday,660
12:00 PM,Weekend,435
12:15 AM,Weekday,342
12:15 AM,Weekend,574
12:15 PM,Weekday,717
12:15 PM,Weekend,442
12:30 AM,Weekday,313
12:30 AM,Weekend,492
12:30 PM,Weekday,674
12:30 PM,Weekend,392
12:45 AM,Weekday,241
12:45 AM,Weekend,482
12:45 PM,Weekday,762
12:45 PM,Weekend,424
